MARCA,SUB-CATEGORIA,CANAL ,SKU,CÓDIGO DE BARRAS,PRODUCTO,Ciudades,Unidades distribuidas , Tamaño ,2021 ENERO,2021 FEBRERO,2021 MARZO,2021 ABRIL,2021 MAYO,2021 JUNIO,2022 ENERO,2022 FEBRERO,2022 MARZO,2022 ABRIL,2022 MAYO,2022 JUNIO, Total 2021 , Total 2022 , Total general 
INFANTI,VASOS ENTRENADORES,Autoservicios,8201,7.50103E+12,VASO TODDLER NINO,Ciudad de Mexico,"24,684",0,0,0,0,0,22,0,22,0,0,7,0,0,22,29,50
INFANTI,VASOS ENTRENADORES,Autoservicios,8207,7.50103E+12,VASO TODDLER NINA,Monterrey,"24,685",0,0,0,0,0,29,0,24,0,0,4,23,0,29,50,79
INFANTI,VASOS ENTRENADORES,Autoservicios,6572,7.50103E+12,VASO SPORT BS 10 OZ,Monterrey,"24,686",0 OZ,0,0,0,0,0,0,0,0,0,0,155,0, -   ,155,155
INFANTI,VASOS ENTRENADORES,Autoservicios,6710,7.50103E+12,VASO SPORT BD 10 OZ,Monterrey,"24,687",0 OZ,0,0,0,0,0,0,0,0,0,0,155,0, -   ,155,155
INFANTI,VASOS ENTRENADORES,Autoservicios,5442,7.50103E+12,VASO BD AVENTURAS,Guadalajara,"24,688",0,9,23,10,16,10,28,8,6,7,13,43,5,95,82,178
INFANTI,VASOS ENTRENADORES,Autoservicios,5462,7.50103E+12,TAZA BASICA BS 10OZ,Ciudad de Mexico,"24,689",10OZ,31,40,107,64,59,127,53,28,59,52,199,43,427,433,860
INFANTI,VASOS ENTRENADORES,Autoservicios,5473,7.50103E+12,VASO SEA BOQ SUAVE,Ciudad de Mexico,"24,690",0,55,77,44,23,74,28,67,37,58,53,114,0,301,329,630
INFANTI,VASOS ENTRENADORES,Autoservicios,5727,7.50103E+12,TAZA ADVANCED 5OZ,Monterrey,"24,691", 5OZ,20,16,18,13,13,19,7,19,8,26,29,0,100,90,190
INFANTI,VASOS ENTRENADORES,Autoservicios,5728,7.50103E+12,VASO ADV BS 8 OZ,Guadalajara,"24,692",8 OZ,14,13,10,7,4,19,5,20,7,2,14,6,67,55,122
INFANTI,VASOS ENTRENADORES,Autoservicios,8169,7.50103E+12,VASO SPORT 10 OZ,Guadalajara,"24,693",0 OZ,0,120,53,14,27,34,32,27,42,22,72,22,248,218,466
INFANTI,VASOS ENTRENADORES,Autoservicios,8176,7.50103E+12,VASO ADVANCED BD,Monterrey,"24,694",0,5,4,4,0,7,22,4,6,4,2,23,5,41,43,84
INFANTI,VASOS ENTRENADORES,Autoservicios,5430,7.50103E+12,VASO TUMBL BD FANTA,Ciudad de Mexico,"24,695",0,60,48,2,52,36,61,20,29,36,17,94,32,259,228,487
